Num;Group;Part;Axe;JM;Calculation;Feature
294;Accelerometer;Body;X;;mean;fBodyAcc-meanFreq()-X
295;Accelerometer;Body;Y;;mean;fBodyAcc-meanFreq()-Y
296;Accelerometer;Body;Z;;mean;fBodyAcc-meanFreq()-Z
297;Accelerometer;Body;X;;skewness;fBodyAcc-skewness()-X
298;Accelerometer;Body;X;;kurtosis;fBodyAcc-kurtosis()-X
299;Accelerometer;Body;Y;;skewness;fBodyAcc-skewness()-Y
300;Accelerometer;Body;Y;;kurtosis;fBodyAcc-kurtosis()-Y
301;Accelerometer;Body;Z;;skewness;fBodyAcc-skewness()-Z
302;Accelerometer;Body;Z;;kurtosis;fBodyAcc-kurtosis()-Z
303;Accelerometer;Body;;;energy;fBodyAcc-bandsEnergy()-1,8a
304;Accelerometer;Body;X;;energy;fBodyAcc-bandsEnergy()-9,16-X
305;Accelerometer;Body;X;;energy;fBodyAcc-bandsEnergy()-17,24-X
306;Accelerometer;Body;X;;energy;fBodyAcc-bandsEnergy()-25,32-X
307;Accelerometer;Body;X;;energy;fBodyAcc-bandsEnergy()-33,40-X
308;Accelerometer;Body;X;;energy;fBodyAcc-bandsEnergy()-41,48-X
309;Accelerometer;Body;X;;energy;fBodyAcc-bandsEnergy()-49,56-X
310;Accelerometer;Body;X;;energy;fBodyAcc-bandsEnergy()-57,64-X
311;Accelerometer;Body;X;;energy;fBodyAcc-bandsEnergy()-1,16-X
312;Accelerometer;Body;X;;energy;fBodyAcc-bandsEnergy()-17,32-X
313;Accelerometer;Body;X;;energy;fBodyAcc-bandsEnergy()-33,48-X
314;Accelerometer;Body;;;energy;fBodyAcc-bandsEnergy()-49,64a
315;Accelerometer;Body;X;;energy;fBodyAcc-bandsEnergy()-1,24-X
316;Accelerometer;Body;X;;energy;fBodyAcc-bandsEnergy()-25,48-X
317;Accelerometer;Body;Y;;energy;fBodyAcc-bandsEnergy()-1,8-Y
318;Accelerometer;Body;Y;;energy;fBodyAcc-bandsEnergy()-9,16-Y
319;Accelerometer;Body;Y;;energy;fBodyAcc-bandsEnergy()-17,24-Y
320;Accelerometer;Body;Y;;energy;fBodyAcc-bandsEnergy()-25,32-Y
321;Accelerometer;Body;Y;;energy;fBodyAcc-bandsEnergy()-33,40-Y
322;Accelerometer;Body;Y;;energy;fBodyAcc-bandsEnergy()-41,48-Y
323;Accelerometer;Body;Y;;energy;fBodyAcc-bandsEnergy()-49,56-Y
324;Accelerometer;Body;Y;;energy;fBodyAcc-bandsEnergy()-57,64-Y
325;Accelerometer;Body;Y;;energy;fBodyAcc-bandsEnergy()-1,16-Y
326;Accelerometer;Body;Y;;energy;fBodyAcc-bandsEnergy()-17,32-Y
327;Accelerometer;Body;Y;;energy;fBodyAcc-bandsEnergy()-33,48-Y
328;Accelerometer;Body;Y;;energy;fBodyAcc-bandsEnergy()-49,64-Y
329;Accelerometer;Body;Y;;energy;fBodyAcc-bandsEnergy()-1,24-Y
330;Accelerometer;Body;Y;;energy;fBodyAcc-bandsEnergy()-25,48-Y
331;Accelerometer;Body;Z;;energy;fBodyAcc-bandsEnergy()-1,8-Z
332;Accelerometer;Body;Z;;energy;fBodyAcc-bandsEnergy()-9,16-Z
333;Accelerometer;Body;Z;;energy;fBodyAcc-bandsEnergy()-17,24-Z
334;Accelerometer;Body;Z;;energy;fBodyAcc-bandsEnergy()-25,32-Z
335;Accelerometer;Body;Z;;energy;fBodyAcc-bandsEnergy()-33,40-Z
336;Accelerometer;Body;Z;;energy;fBodyAcc-bandsEnergy()-41,48-Z
337;Accelerometer;Body;Z;;energy;fBodyAcc-bandsEnergy()-49,56-Z
338;Accelerometer;Body;Z;;energy;fBodyAcc-bandsEnergy()-57,64-Z
339;Accelerometer;Body;Z;;energy;fBodyAcc-bandsEnergy()-1,16-Z
340;Accelerometer;Body;Z;;energy;fBodyAcc-bandsEnergy()-17,32-Z
341;Accelerometer;Body;Z;;energy;fBodyAcc-bandsEnergy()-33,48-Z
342;Accelerometer;Body;Z;;energy;fBodyAcc-bandsEnergy()-49,64-Z
343;Accelerometer;Body;Z;;energy;fBodyAcc-bandsEnergy()-1,24-Z
344;Accelerometer;Body;Z;;energy;fBodyAcc-bandsEnergy()-25,48-Z
345;Accelerometer;Body;X;Jerk;mean;fBodyAccJerk-mean()-X
346;Accelerometer;Body;Y;Jerk;mean;fBodyAccJerk-mean()-Y
347;Accelerometer;Body;Z;Jerk;mean;fBodyAccJerk-mean()-Z
348;Accelerometer;Body;X;Jerk;std;fBodyAccJerk-std()-X
349;Accelerometer;Body;Y;Jerk;std;fBodyAccJerk-std()-Y
350;Accelerometer;Body;Z;Jerk;std;fBodyAccJerk-std()-Z
351;Accelerometer;Body;X;Jerk;mad;fBodyAccJerk-mad()-X
352;Accelerometer;Body;Y;Jerk;mad;fBodyAccJerk-mad()-Y
353;Accelerometer;Body;Z;Jerk;mad;fBodyAccJerk-mad()-Z
354;Accelerometer;Body;X;Jerk;max;fBodyAccJerk-max()-X
355;Accelerometer;Body;Y;Jerk;max;fBodyAccJerk-max()-Y
356;Accelerometer;Body;Z;Jerk;max;fBodyAccJerk-max()-Z
357;Accelerometer;Body;X;Jerk;min;fBodyAccJerk-min()-X
358;Accelerometer;Body;Y;Jerk;min;fBodyAccJerk-min()-Y
359;Accelerometer;Body;Z;Jerk;min;fBodyAccJerk-min()-Z
360;Accelerometer;Body;;Jerk;sma;fBodyAccJerk-sma()
361;Accelerometer;Body;X;Jerk;energy;fBodyAccJerk-energy()-X
362;Accelerometer;Body;Y;Jerk;energy;fBodyAccJerk-energy()-Y
363;Accelerometer;Body;Z;Jerk;energy;fBodyAccJerk-energy()-Z
364;Accelerometer;Body;X;Jerk;iqr;fBodyAccJerk-iqr()-X
365;Accelerometer;Body;Y;Jerk;iqr;fBodyAccJerk-iqr()-Y
366;Accelerometer;Body;Z;Jerk;iqr;fBodyAccJerk-iqr()-Z
367;Accelerometer;Body;X;Jerk;entropy;fBodyAccJerk-entropy()-X
368;Accelerometer;Body;Y;Jerk;entropy;fBodyAccJerk-entropy()-Y
369;Accelerometer;Body;Z;Jerk;entropy;fBodyAccJerk-entropy()-Z
370;Accelerometer;Body;X;Jerk;max;fBodyAccJerk-maxInds-X
371;Accelerometer;Body;Y;Jerk;max;fBodyAccJerk-maxInds-Y
372;Accelerometer;Body;Z;Jerk;max;fBodyAccJerk-maxInds-Z
373;Accelerometer;Body;X;Jerk;mean;fBodyAccJerk-meanFreq()-X
374;Accelerometer;Body;Y;Jerk;mean;fBodyAccJerk-meanFreq()-Y
375;Accelerometer;Body;Z;Jerk;mean;fBodyAccJerk-meanFreq()-Z
376;Accelerometer;Body;X;Jerk;skewness;fBodyAccJerk-skewness()-X
377;Accelerometer;Body;X;Jerk;kurtosis;fBodyAccJerk-kurtosis()-X
378;Accelerometer;Body;Y;Jerk;skewness;fBodyAccJerk-skewness()-Y
379;Accelerometer;Body;Y;Jerk;kurtosis;fBodyAccJerk-kurtosis()-Y
380;Accelerometer;Body;Z;Jerk;skewness;fBodyAccJerk-skewness()-Z
381;Accelerometer;Body;Z;Jerk;kurtosis;fBodyAccJerk-kurtosis()-Z
382;Accelerometer;Body;;Jerk;energy;fBodyAccJerk-bandsEnergy()-1,8a
383;Accelerometer;Body;X;Jerk;energy;fBodyAccJerk-bandsEnergy()-9,16-X
384;Accelerometer;Body;X;Jerk;energy;fBodyAccJerk-bandsEnergy()-17,24-X
385;Accelerometer;Body;X;Jerk;energy;fBodyAccJerk-bandsEnergy()-25,32-X
386;Accelerometer;Body;X;Jerk;energy;fBodyAccJerk-bandsEnergy()-33,40-X
387;Accelerometer;Body;X;Jerk;energy;fBodyAccJerk-bandsEnergy()-41,48-X
388;Accelerometer;Body;X;Jerk;energy;fBodyAccJerk-bandsEnergy()-49,56-X
389;Accelerometer;Body;X;Jerk;energy;fBodyAccJerk-bandsEnergy()-57,64-X
390;Accelerometer;Body;X;Jerk;energy;fBodyAccJerk-bandsEnergy()-1,16-X
391;Accelerometer;Body;X;Jerk;energy;fBodyAccJerk-bandsEnergy()-17,32-X
392;Accelerometer;Body;X;Jerk;energy;fBodyAccJerk-bandsEnergy()-33,48-X
393;Accelerometer;Body;X;Jerk;energy;fBodyAccJerk-bandsEnergy()-49,64-X
394;Accelerometer;Body;X;Jerk;energy;fBodyAccJerk-bandsEnergy()-1,24-X
395;Accelerometer;Body;X;Jerk;energy;fBodyAccJerk-bandsEnergy()-25,48-X
396;Accelerometer;Body;Y;Jerk;energy;fBodyAccJerk-bandsEnergy()-1,8-Y
397;Accelerometer;Body;Y;Jerk;energy;fBodyAccJerk-bandsEnergy()-9,16-Y
398;Accelerometer;Body;Y;Jerk;energy;fBodyAccJerk-bandsEnergy()-17,24-Y
399;Accelerometer;Body;Y;Jerk;energy;fBodyAccJerk-bandsEnergy()-25,32-Y
400;Accelerometer;Body;Y;Jerk;energy;fBodyAccJerk-bandsEnergy()-33,40-Y
401;Accelerometer;Body;Y;Jerk;energy;fBodyAccJerk-bandsEnergy()-41,48-Y
402;Accelerometer;Body;Y;Jerk;energy;fBodyAccJerk-bandsEnergy()-49,56-Y
403;Accelerometer;Body;Y;Jerk;energy;fBodyAccJerk-bandsEnergy()-57,64-Y
404;Accelerometer;Body;Y;Jerk;energy;fBodyAccJerk-bandsEnergy()-1,16-Y
405;Accelerometer;Body;Y;Jerk;energy;fBodyAccJerk-bandsEnergy()-17,32-Y
406;Accelerometer;Body;Y;Jerk;energy;fBodyAccJerk-bandsEnergy()-33,48-Y
407;Accelerometer;Body;Y;Jerk;energy;fBodyAccJerk-bandsEnergy()-49,64-Y
408;Accelerometer;Body;Y;Jerk;energy;fBodyAccJerk-bandsEnergy()-1,24-Y
409;Accelerometer;Body;Y;Jerk;energy;fBodyAccJerk-bandsEnergy()-25,48-Y
410;Accelerometer;Body;Z;Jerk;energy;fBodyAccJerk-bandsEnergy()-1,8-Z
411;Accelerometer;Body;Z;Jerk;energy;fBodyAccJerk-bandsEnergy()-9,16-Z
412;Accelerometer;Body;Z;Jerk;energy;fBodyAccJerk-bandsEnergy()-17,24-Z
413;Accelerometer;Body;Z;Jerk;energy;fBodyAccJerk-bandsEnergy()-25,32-Z
414;Accelerometer;Body;Z;Jerk;energy;fBodyAccJerk-bandsEnergy()-33,40-Z
415;Accelerometer;Body;Z;Jerk;energy;fBodyAccJerk-bandsEnergy()-41,48-Z
416;Accelerometer;Body;Z;Jerk;energy;fBodyAccJerk-bandsEnergy()-49,56-Z
417;Accelerometer;Body;Z;Jerk;energy;fBodyAccJerk-bandsEnergy()-57,64-Z
418;Accelerometer;Body;Z;Jerk;energy;fBodyAccJerk-bandsEnergy()-1,16-Z
419;Accelerometer;Body;Z;Jerk;energy;fBodyAccJerk-bandsEnergy()-17,32-Z
420;Accelerometer;Body;Z;Jerk;energy;fBodyAccJerk-bandsEnergy()-33,48-Z
421;Accelerometer;Body;Z;Jerk;energy;fBodyAccJerk-bandsEnergy()-49,64-Z
422;Accelerometer;Body;Z;Jerk;energy;fBodyAccJerk-bandsEnergy()-1,24-Z
423;Accelerometer;Body;Z;Jerk;energy;fBodyAccJerk-bandsEnergy()-25,48-Z
424;Gyroscope;Body;X;;mean;fBodyGyro-mean()-X
425;Gyroscope;Body;Y;;mean;fBodyGyro-mean()-Y
426;Gyroscope;Body;Z;;mean;fBodyGyro-mean()-Z
427;Gyroscope;Body;X;;std;fBodyGyro-std()-X
428;Gyroscope;Body;Y;;std;fBodyGyro-std()-Y
429;Gyroscope;Body;Z;;std;fBodyGyro-std()-Z
430;Gyroscope;Body;X;;mad;fBodyGyro-mad()-X
431;Gyroscope;Body;Y;;mad;fBodyGyro-mad()-Y
432;Gyroscope;Body;Z;;mad;fBodyGyro-mad()-Z
433;Gyroscope;Body;X;;max;fBodyGyro-max()-X
434;Gyroscope;Body;Y;;max;fBodyGyro-max()-Y
435;Gyroscope;Body;Z;;max;fBodyGyro-max()-Z
436;Gyroscope;Body;X;;min;fBodyGyro-min()-X
437;Gyroscope;Body;Y;;min;fBodyGyro-min()-Y
438;Gyroscope;Body;Z;;min;fBodyGyro-min()-Z
439;Gyroscope;Body;;;sma;fBodyGyro-sma()
440;Gyroscope;Body;X;;energy;fBodyGyro-energy()-X
441;Gyroscope;Body;Y;;energy;fBodyGyro-energy()-Y
442;Gyroscope;Body;Z;;energy;fBodyGyro-energy()-Z
443;Gyroscope;Body;X;;iqr;fBodyGyro-iqr()-X
444;Gyroscope;Body;Y;;iqr;fBodyGyro-iqr()-Y
445;Gyroscope;Body;Z;;iqr;fBodyGyro-iqr()-Z
446;Gyroscope;Body;X;;entropy;fBodyGyro-entropy()-X
447;Gyroscope;Body;Y;;entropy;fBodyGyro-entropy()-Y
448;Gyroscope;Body;Z;;entropy;fBodyGyro-entropy()-Z
449;Gyroscope;Body;X;;max;fBodyGyro-maxInds-X
450;Gyroscope;Body;Y;;max;fBodyGyro-maxInds-Y
451;Gyroscope;Body;Z;;max;fBodyGyro-maxInds-Z
452;Gyroscope;Body;X;;mean;fBodyGyro-meanFreq()-X
453;Gyroscope;Body;Y;;mean;fBodyGyro-meanFreq()-Y
454;Gyroscope;Body;Z;;mean;fBodyGyro-meanFreq()-Z
455;Gyroscope;Body;X;;skewness;fBodyGyro-skewness()-X
456;Gyroscope;Body;X;;kurtosis;fBodyGyro-kurtosis()-X
457;Gyroscope;Body;Y;;skewness;fBodyGyro-skewness()-Y
458;Gyroscope;Body;Y;;kurtosis;fBodyGyro-kurtosis()-Y
459;Gyroscope;Body;Z;;skewness;fBodyGyro-skewness()-Z
460;Gyroscope;Body;Z;;kurtosis;fBodyGyro-kurtosis()-Z
461;Gyroscope;Body;;;energy;fBodyGyro-bandsEnergy()-1,8a
462;Gyroscope;Body;;;energy;fBodyGyro-bandsEnergy()-9,16a
463;Gyroscope;Body;X;;energy;fBodyGyro-bandsEnergy()-17,24-X
464;Gyroscope;Body;X;;energy;fBodyGyro-bandsEnergy()-25,32-X
465;Gyroscope;Body;X;;energy;fBodyGyro-bandsEnergy()-33,40-X
466;Gyroscope;Body;X;;energy;fBodyGyro-bandsEnergy()-41,48-X
467;Gyroscope;Body;X;;energy;fBodyGyro-bandsEnergy()-49,56-X
468;Gyroscope;Body;X;;energy;fBodyGyro-bandsEnergy()-57,64-X
469;Gyroscope;Body;X;;energy;fBodyGyro-bandsEnergy()-1,16-X
470;Gyroscope;Body;X;;energy;fBodyGyro-bandsEnergy()-17,32-X
471;Gyroscope;Body;X;;energy;fBodyGyro-bandsEnergy()-33,48-X
472;Gyroscope;Body;X;;energy;fBodyGyro-bandsEnergy()-49,64-X
473;Gyroscope;Body;X;;energy;fBodyGyro-bandsEnergy()-1,24-X
474;Gyroscope;Body;X;;energy;fBodyGyro-bandsEnergy()-25,48-X
475;Gyroscope;Body;Y;;energy;fBodyGyro-bandsEnergy()-1,8-Y
476;Gyroscope;Body;Y;;energy;fBodyGyro-bandsEnergy()-9,16-Y
477;Gyroscope;Body;Y;;energy;fBodyGyro-bandsEnergy()-17,24-Y
478;Gyroscope;Body;Y;;energy;fBodyGyro-bandsEnergy()-25,32-Y
479;Gyroscope;Body;Y;;energy;fBodyGyro-bandsEnergy()-33,40-Y
480;Gyroscope;Body;Y;;energy;fBodyGyro-bandsEnergy()-41,48-Y
481;Gyroscope;Body;Y;;energy;fBodyGyro-bandsEnergy()-49,56-Y
482;Gyroscope;Body;Y;;energy;fBodyGyro-bandsEnergy()-57,64-Y
483;Gyroscope;Body;Y;;energy;fBodyGyro-bandsEnergy()-1,16-Y
484;Gyroscope;Body;Y;;energy;fBodyGyro-bandsEnergy()-17,32-Y
485;Gyroscope;Body;Y;;energy;fBodyGyro-bandsEnergy()-33,48-Y
486;Gyroscope;Body;Y;;energy;fBodyGyro-bandsEnergy()-49,64-Y
487;Gyroscope;Body;Y;;energy;fBodyGyro-bandsEnergy()-1,24-Y
488;Gyroscope;Body;Y;;energy;fBodyGyro-bandsEnergy()-25,48-Y
489;Gyroscope;Body;Z;;energy;fBodyGyro-bandsEnergy()-1,8-Z
490;Gyroscope;Body;Z;;energy;fBodyGyro-bandsEnergy()-9,16-Z
491;Gyroscope;Body;;;energy;fBodyGyro-bandsEnergy()-17,24c
492;Gyroscope;Body;Z;;energy;fBodyGyro-bandsEnergy()-25,32-Z
493;Gyroscope;Body;Z;;energy;fBodyGyro-bandsEnergy()-33,40-Z
494;Gyroscope;Body;Z;;energy;fBodyGyro-bandsEnergy()-41,48-Z
495;Gyroscope;Body;Z;;energy;fBodyGyro-bandsEnergy()-49,56-Z
496;Gyroscope;Body;Z;;energy;fBodyGyro-bandsEnergy()-57,64-Z
497;Gyroscope;Body;Z;;energy;fBodyGyro-bandsEnergy()-1,16-Z
498;Gyroscope;Body;Z;;energy;fBodyGyro-bandsEnergy()-17,32-Z
499;Gyroscope;Body;Z;;energy;fBodyGyro-bandsEnergy()-33,48-Z
500;Gyroscope;Body;Z;;energy;fBodyGyro-bandsEnergy()-49,64-Z
501;Gyroscope;Body;Z;;energy;fBodyGyro-bandsEnergy()-1,24-Z
502;Gyroscope;Body;Z;;energy;fBodyGyro-bandsEnergy()-25,48-Z
503;Accelerometer;Body;;Mag;mean;fBodyAccMag-mean()
504;Accelerometer;Body;;Mag;std;fBodyAccMag-std()
505;Accelerometer;Body;;Mag;mad;fBodyAccMag-mad()
506;Accelerometer;Body;;Mag;max;fBodyAccMag-max()
507;Accelerometer;Body;;Mag;min;fBodyAccMag-min()
508;Accelerometer;Body;;Mag;sma;fBodyAccMag-sma()
509;Accelerometer;Body;;Mag;energy;fBodyAccMag-energy()
510;Accelerometer;Body;;Mag;iqr;fBodyAccMag-iqr()
511;Accelerometer;Body;;Mag;entropy;fBodyAccMag-entropy()
512;Accelerometer;Body;;Mag;max;fBodyAccMag-maxInds
513;Accelerometer;Body;;Mag;mean;fBodyAccMag-meanFreq()
514;Accelerometer;Body;;Mag;skewness;fBodyAccMag-skewness()
515;Accelerometer;Body;;Mag;kurtosis;fBodyAccMag-kurtosis()
516;Accelerometer;Body;;Jerk/Mag;mean;fBodyBodyAccJerkMag-mean()
517;Accelerometer;Body;;Jerk/Mag;std;fBodyBodyAccJerkMag-std()
518;Accelerometer;Body;;Jerk/Mag;mad;fBodyBodyAccJerkMag-mad()
519;Accelerometer;Body;;Jerk/Mag;max;fBodyBodyAccJerkMag-max()
520;Accelerometer;Body;;Jerk/Mag;min;fBodyBodyAccJerkMag-min()
521;Accelerometer;Body;;Jerk/Mag;sma;fBodyBodyAccJerkMag-sma()
522;Accelerometer;Body;;Jerk/Mag;energy;fBodyBodyAccJerkMag-energy()
523;Accelerometer;Body;;Jerk/Mag;iqr;fBodyBodyAccJerkMag-iqr()
524;Accelerometer;Body;;Jerk/Mag;entropy;fBodyBodyAccJerkMag-entropy()
525;Accelerometer;Body;;Jerk/Mag;max;fBodyBodyAccJerkMag-maxInds
526;Accelerometer;Body;;Jerk/Mag;mean;fBodyBodyAccJerkMag-meanFreq()
527;Accelerometer;Body;;Jerk/Mag;skewness;fBodyBodyAccJerkMag-skewness()
528;Accelerometer;Body;;Jerk/Mag;kurtosis;fBodyBodyAccJerkMag-kurtosis()
529;Gyroscope;Body;;Mag;mean;fBodyBodyGyroMag-mean()
530;Gyroscope;Body;;Mag;std;fBodyBodyGyroMag-std()
531;Gyroscope;Body;;Mag;mad;fBodyBodyGyroMag-mad()
532;Gyroscope;Body;;Mag;max;fBodyBodyGyroMag-max()
533;Gyroscope;Body;;Mag;min;fBodyBodyGyroMag-min()
534;Gyroscope;Body;;Mag;sma;fBodyBodyGyroMag-sma()
535;Gyroscope;Body;;Mag;energy;fBodyBodyGyroMag-energy()
536;Gyroscope;Body;;Mag;iqr;fBodyBodyGyroMag-iqr()
537;Gyroscope;Body;;Mag;entropy;fBodyBodyGyroMag-entropy()
538;Gyroscope;Body;;Mag;max;fBodyBodyGyroMag-maxInds
539;Gyroscope;Body;;Mag;mean;fBodyBodyGyroMag-meanFreq()
540;Gyroscope;Body;;Mag;skewness;fBodyBodyGyroMag-skewness()
541;Gyroscope;Body;;Mag;kurtosis;fBodyBodyGyroMag-kurtosis()
542;Gyroscope;Body;;Jerk/Mag;mean;fBodyBodyGyroJerkMag-mean()
543;Gyroscope;Body;;Jerk/Mag;std;fBodyBodyGyroJerkMag-std()
544;Gyroscope;Body;;Jerk/Mag;mad;fBodyBodyGyroJerkMag-mad()
545;Gyroscope;Body;;Jerk/Mag;max;fBodyBodyGyroJerkMag-max()
546;Gyroscope;Body;;Jerk/Mag;min;fBodyBodyGyroJerkMag-min()
547;Gyroscope;Body;;Jerk/Mag;sma;fBodyBodyGyroJerkMag-sma()
548;Gyroscope;Body;;Jerk/Mag;energy;fBodyBodyGyroJerkMag-energy()
549;Gyroscope;Body;;Jerk/Mag;iqr;fBodyBodyGyroJerkMag-iqr()
550;Gyroscope;Body;;Jerk/Mag;entropy;fBodyBodyGyroJerkMag-entropy()
551;Gyroscope;Body;;Jerk/Mag;max;fBodyBodyGyroJerkMag-maxInds
552;Gyroscope;Body;;Jerk/Mag;mean;fBodyBodyGyroJerkMag-meanFreq()
553;Gyroscope;Body;;Jerk/Mag;skewness;fBodyBodyGyroJerkMag-skewness()
554;Gyroscope;Body;;Jerk/Mag;kurtosis;fBodyBodyGyroJerkMag-kurtosis()
555;Accelerometer;Body/Gravity;;;mean;angle(tBodyAccMean,gravity)
556;Accelerometer;Body/Gravity;;Jerk;mean;angle(tBodyAccJerkMean),gravityMean)
557;Gyroscope;Body/Gravity;;;mean;angle(tBodyGyroMean,gravityMean)
558;Gyroscope;Body/Gravity;;Jerk;mean;angle(tBodyGyroJerkMean,gravityMean)
559;Angle;Gravity;;;mean;angle(X,gravityMean)
560;Angle;Gravity;;;mean;angle(Y,gravityMean)
561;Angle;Gravity;;;mean;angle(Z,gravityMean)